uid,event,avg_max
3,1,0.5308335160593893
3,2,0.526510864536523
3,3,0.5003929021809091
3,4,0.5115831543010647
4,1,0.48031198818572046
4,2,0.4804879919897447
4,3,0.4712438561726169
4,4,0.48351083413729035
5,1,0.5653326176020556
5,2,0.5262785468416963
5,3,0.6040031994961044
5,4,0.6072785988568441
7,1,0.4782782170107273
7,2,0.44542919248345797
7,3,0.45773633783263534
7,4,0.47804904215548105
8,1,0.35915673553362737
8,2,0.36288782966906447
8,3,0.34009352727040537
8,4,0.3474788381566556
9,1,0.42226843066903047
9,2,0.4175294867694301
9,3,0.4233113666387514
9,4,0.4281240542290864
10,1,0.45955746279659565
10,2,0.4501815958473891
10,3,0.46343428053849767
10,4,0.4845873394517838
11,1,0.4070630869263747
11,2,0.38614982513426116
11,3,0.38345657630074736
11,4,0.4072659597539666
12,1,0.4904260038392587
12,2,0.48461088791589885
12,3,0.47281762583854936
12,4,0.558252258648448
13,1,0.5348585001869748
13,2,0.5415008913047049
13,3,0.5005155902505175
13,4,0.5309775252210281
14,1,0.3893077026993774
14,2,0.37377406446084666
14,3,0.3788684788055391
14,4,0.410092285543479
15,1,0.43917721829376405
15,2,0.4288928744479643
15,3,0.425291018702528
15,4,0.45206250604391
16,1,0.4287517536403315
16,2,0.4219833149338152
16,3,0.39338281842396183
16,4,0.4192973055760524
17,1,0.40125354461537227
17,2,0.3878826434173426
17,3,0.38485596120126603
17,4,0.41110937611328635
18,1,0.45554315488678504
18,2,0.44287211762544415
18,3,0.456329800347289
18,4,0.4556680555291898
19,1,0.3453073080358416
19,2,0.3523758896630697
19,3,0.33835079739064944
19,4,0.339270645672174
20,1,0.5782461106613678
20,2,0.5046339480194876
20,3,0.48374275758760876
20,4,0.5313101906218741
21,1,0.4317405175325102
21,2,0.43155475392299714
21,3,0.3936312320060225
21,4,0.4294489608515476
22,1,0.5507846390540055
22,2,0.5602606985858853
22,3,0.572189785947437
22,4,0.5680152985911447
23,1,0.3844541711401275
23,2,0.364498639961127
23,3,0.3754738578760304
23,4,0.39642146442957105
24,1,0.47333828256872396
24,2,0.4519987135299243
24,3,0.47076394740793714
24,4,0.4778631226902025
25,1,0.4571637083247288
25,2,0.446640850183812
25,3,0.5250570735903105
25,4,0.484926030437275
26,1,0.4440440186218693
26,2,0.4386372878955678
26,3,0.5502791491769727
26,4,0.4809195834978405
27,1,0.37611907529810296
27,2,0.3828288663384747
27,3,0.3832261398266622
27,4,0.391742413098068
28,1,0.4294260569338107
28,2,0.4230845302274644
28,3,0.4178941708023547
28,4,0.4241748417339142
29,1,0.5117521511533214
29,2,0.4622096229768682
29,3,0.46046959847742097
29,4,0.4969967476236989
30,1,0.3882137031472383
30,2,0.4017475839029641
30,3,0.37567782261775357
30,4,0.3901141093251018
31,1,0.45657990466708215
31,2,0.4250801511925118
31,3,0.4278560564790468
31,4,0.4670076844618761
32,1,0.4254155731420362
32,2,0.4044465489161912
32,3,0.39670582281586547
32,4,0.42508183383516396
33,1,0.46491763297093636
33,2,0.415020311379715
33,3,0.3968321810922335
33,4,0.4334742845288001
34,1,0.37188661545392837
34,2,0.3638932980134415
34,3,0.36863008047126966
34,4,0.36862756050138973
35,1,0.4175744034845219
35,2,0.4150067677767857
35,3,0.43745201643794585
35,4,0.431940582577499
36,1,0.4104575574549297
36,2,0.41311972857911466
36,3,0.39473248829988383
36,4,0.41909579944852016
37,1,0.4973174164174237
37,2,0.47704894837716405
37,3,0.44845068567615864
37,4,0.49270463937283127
38,1,0.4059511927537169
38,2,0.39630879391282997
38,3,0.3798282854905735
38,4,0.39671459668506787
39,1,0.4433013603137901
39,2,0.42276188099696976
39,3,0.4138650917029535
39,4,0.44958305200857007
40,1,0.4389785722718695
40,2,0.4241786965864407
40,3,0.43997294939694265
40,4,0.4392409941122821
41,1,0.4094578462771968
41,2,0.411682457029898
41,3,0.369689904363967
41,4,0.43327279090912096
42,1,0.45949017402898146
42,2,0.41702830600792967
42,3,0.38096257213434737
42,4,0.4588420944173131
43,1,0.4877167440266466
43,2,0.47460792859143613
43,3,0.45670088039399404
43,4,0.47344501010838164
44,1,0.5272427088703568
44,2,0.5229023028731471
44,3,0.5048776511293636
44,4,0.5070202836329467
45,1,0.4923444104770079
45,2,0.4914802285140581
45,3,0.4779060323252719
45,4,0.5125388572694698
46,1,0.5305202014208393
46,2,0.5163485645349054
46,3,0.49884393158106877
46,4,0.5958629223679058
47,1,0.5732311423884614
47,2,0.5398585875919084
47,3,0.5509153146494374
47,4,0.5806496445488074
48,1,0.5710306584476482
48,2,0.5457358137531098
48,3,0.5930876431519779
48,4,0.6454488178424749
49,1,0.5120089170441146
49,2,0.4955320641023722
49,3,0.5407208705724322
49,4,0.5619188841877557
50,1,0.3495462351440452
50,2,0.34941211587087917
50,3,0.36031736302561546
50,4,0.3558865786909585
51,1,0.4186454700412052
51,2,0.3995838796371715
51,3,0.3665627565143972
51,4,0.42076960264041
52,1,0.5117186953336541
52,2,0.52562188831889
52,3,0.5118050142729629
52,4,0.4891410807428215
53,1,0.5296065772736943
53,2,0.5201537709513359
53,3,0.531051956746894
53,4,0.5539969434652092
54,1,0.40882465377882005
54,2,0.4216013826884666
54,3,0.43839700182919816
54,4,0.4180648198230782
55,1,0.476534895662724
55,2,0.471778639625025
55,3,0.44605092410105984
55,4,0.46382220249909245
56,1,0.4771756186945308
56,2,0.4683801839560993
56,3,0.3858930887831037
56,4,0.4557769928248393
57,1,0.5191035255509825
57,2,0.49328272075213936
57,3,0.5007373228985765
57,4,0.5306214897111141
58,1,0.46571677778589243
58,2,0.4463494678377941
58,3,0.43526645192855606
58,4,0.5009473503166135
59,1,0.4423421271052959
59,2,0.437203439378119
59,3,0.4335903234275915
59,4,0.4528641180438257
60,1,0.4852390864948564
60,2,0.48268317253599263
60,3,0.455036308992413
60,4,0.5160613306355455
61,1,0.5312294279777934
61,2,0.5070046941328814
61,3,0.455682031150336
61,4,0.5134826497475827
62,1,0.5016528383906887
62,2,0.461437385526863
62,3,0.46786691807586067
62,4,0.47619414904653845
